accom_name,type,description,address,latitude,longitude,accom_tel,ava_dates_start,ava_dates_end
서울 선샤인호텔,HOTEL,"다양한 볼거리가 있는 국제전시장, 무역센터, 영화관, 먹을거리가 고루 갖춰져 있는 코엑스몰도 가까운 위치에 있으며, 또한 코엑스 가까이에 위치한 롯데월드는 서울 최대의 놀이공원으로써 다양한 놀이시설들로 외국 관광객들에도 인기가 높은 곳",서울특별시 강남구 도산대로 205,127.0287872,37.52062715,02-548-8222,2024-12-24,2024-12-31
그랜드 인터컨티넨탈 서울 파르나스,HOTEL,"지난 2014년 1층 로비 및 레스토랑, 그랜드 볼룸 등 공용부의 리모델링 이후, 호텔 외관과 7층부터 33층까지 전 객실의 리모델링을 완성하며 완벽히 새로운 호텔로 다시 태어났습니다 또한 기존 26층에 위치했던 인터컨티넨탈 클럽 라운지를 최상층인 34층으로 이동시키며 클럽 서비스 강화했습니다",서울특별시 강남구 테헤란로 521,127.0608846,37.50959845,02-555-5656,2024-12-24,2024-12-31
노보텔 앰배서더 서울 동대문 호텔 & 레지던스,HOTEL,"흥인지문의 처마를 모티브로 모던하고 안락한 인테리어가 돋보이는 객실과 편의 주방시설이 있는 객실이 있습니다 올데이 다이닝 뷔페 레스토랑, 로비 라운지 바, 델리 등 매력적인 부대시설들이 준비되어 있습니다",서울특별시 중구 을지로 238 (을지로6가),127.0043937,37.56635196,02-816-6405,2024-12-24,2024-12-31
서울신라호텔,HOTEL,"전통이라는 지붕 위에 모더니즘적 디자인 요소를 가미, 삶에 여유와 품격을 한층 높여 주는 프리미엄 라이프스타일 공간으로 변화를 거듭해 오는 세계 최고의 럭셔리 호텔입니다",서울특별시 중구 동호로 249,127.0051689,37.55593373,02-2233-3131,2024-12-24,2024-12-31
서울앤호텔 동대문,HOTEL,"전문화된 서비스와 청결한 객실관리를 통해 고객에게 신뢰감을 더해드립니다 단순 숙박이 아닌 다양한 문화 체험의 장소로써 편안한 휴식은 물론, 특별한 추억까지 남길 수 있습니다",서울특별시 종로구 종로66가길 21,127.0208531,37.57337921,02-6365-0008,2024-12-24,2024-12-31
리버사이드게스트하우스,GUESTHOUSE,"리버사이드 게스트하우스는 서울시 광진구 자양동에 위치한 숙소로, 아기자기한 입구가 여행객을 맞이합니다.",서울특별시 광진구 뚝섬로 702-4,127.0873259,37.53298788,010-2350-8887,2024-12-24,2024-12-31
롯데호텔서울,HOTEL,1120실의 객실을 자랑하는 국내 최고 럭셔리 호텔로 서울의 중심에 위치해 있습니다 유명인사들이 애용하는 국내 유일 미슐랭 3스타 쉐프가 운영하는 레스토랑이 인상적입니다 KS-SQI 1위에 빛나는 대한민국 최고의 호텔로서 다양한 목적에 부합하는 호텔입니다,서울특별시 중구 을지로 30 롯데호텔,126.9810458,37.56540165,02-771-1000,2024-12-24,2024-12-31
서울한옥스테이,GUESTHOUSE,"서울 경복궁역에서 도보 3분거리에 있는 독채 한옥 스테이로 프리이빗한 공간을 제공한다. 마당에서는 제기차기, 윳놀이, 투호놀이 등 전통 놀이를 즐길 수 있습니다.",서울특별시 종로구 자하문로1나길 7-28,126.9708992,37.57695845,010-5720-6800,2024-12-24,2024-12-31
서촌게스트하우스,GUESTHOUSE,"서울 종로 서촌에 위치한 서촌게스트하우스는 90년 된 한옥이자 2층 양옥이 함께 어우러진 집입니다. 여행객은 1층 객실과 대청을 자유롭게 이용할 수 있고, 식사로 6첩 반상을 제공해드립니다.",서울특별시 종로구 자하문로7길 28-3,126.9706492,37.57909154,02-473-9680,2024-12-24,2024-12-31
리치다이아몬드호텔,MOTEL,"서울의 중심에 위치한 리치 다이아몬드 호텔은 비즈니스 전문 호텔로 편안하고 깔끔한 객실,다양한 부대 시설을 갖추고 있습니다.",서울특별시 강북구 삼양로 500-18,127.0156237,37.64763993,02-905-9131,2024-12-24,2024-12-31
